(storm) D:\Zhiyu\GNN-UDS\surrogate>python maxred.py --env chaohu --act rand --pop_size 64 --processes 8 --rain_num 100 --rain_suffix chaohu_testall --result_dir maxred_all100 --termination n_gen 100
MaxRed configs: Namespace(act='rand', crossover=[1.0, 3.0], directed=False, env='chaohu', length=0, mutation=[1.0, 3.0], order=1, pop_size=64, processes=8, rain_dir='./envs/config/', rain_num=100, rain_suffix='chaohu_testall', result_dir='./results/chaohu/maxred_all100', sampling=0.4, setting_duration=10, termination=['n_gen', 100])
Runoff time: 46.26052403450012 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
    38 |     2432 |  5.835763E+04 |  5.565278E+04
    39 |     2496 |  5.818065E+04 |  5.565278E+04
    40 |     2560 |  5.802151E+04 |  5.565278E+04
    41 |     2624 |  5.784488E+04 |  5.565278E+04
    42 |     2688 |  5.760378E+04 |  5.565278E+04
    43 |     2752 |  5.736173E+04 |  5.565278E+04
    44 |     2816 |  5.708078E+04 |  5.565278E+04
    45 |     2880 |  5.682765E+04 |  5.565278E+04
    46 |     2944 |  5.659054E+04 |  5.565278E+04
    47 |     3008 |  5.639992E+04 |  5.565278E+04
    48 |     3072 |  5.625013E+04 |  5.565278E+04
    49 |     3136 |  5.610401E+04 |  5.564695E+04
    50 |     3200 |  5.594156E+04 |  5.558809E+04
    51 |     3264 |  5.580020E+04 |  5.558809E+04
    52 |     3328 |  5.569169E+04 |  5.547789E+04
    53 |     3392 |  5.558090E+04 |  5.533755E+04
    54 |     3456 |  5.549574E+04 |  5.532644E+04
    55 |     3520 |  5.544683E+04 |  5.532644E+04
    56 |     3584 |  5.537110E+04 |  5.529992E+04
    57 |     3648 |  5.533815E+04 |  5.529992E+04
    58 |     3712 |  5.532951E+04 |  5.529110E+04
    59 |     3776 |  5.531921E+04 |  5.528233E+04
    60 |     3840 |  5.530774E+04 |  5.527959E+04
    61 |     3904 |  5.529503E+04 |  5.527329E+04
    62 |     3968 |  5.528642E+04 |  5.526308E+04
    63 |     4032 |  5.528163E+04 |  5.526308E+04
    64 |     4096 |  5.527737E+04 |  5.526308E+04
    65 |     4160 |  5.527231E+04 |  5.525089E+04
    66 |     4224 |  5.526809E+04 |  5.525089E+04
    67 |     4288 |  5.526373E+04 |  5.524975E+04
    68 |     4352 |  5.526047E+04 |  5.524686E+04
    69 |     4416 |  5.525549E+04 |  5.520306E+04
    70 |     4480 |  5.525055E+04 |  5.509461E+04
    71 |     4544 |  5.524795E+04 |  5.509461E+04
    72 |     4608 |  5.523863E+04 |  5.508963E+04
    73 |     4672 |  5.522212E+04 |  5.431221E+04
    74 |     4736 |  5.515381E+04 |  5.429983E+04
    75 |     4800 |  5.500514E+04 |  5.416545E+04
    76 |     4864 |  5.457761E+04 |  5.400733E+04
    77 |     4928 |  5.417885E+04 |  5.400733E+04
    78 |     4992 |  5.411822E+04 |  5.387903E+04
    79 |     5056 |  5.409202E+04 |  5.387903E+04
    80 |     5120 |  5.406408E+04 |  5.387903E+04
    81 |     5184 |  5.402898E+04 |  5.387903E+04
    82 |     5248 |  5.400165E+04 |  5.387903E+04
    83 |     5312 |  5.398808E+04 |  5.387903E+04
    84 |     5376 |  5.397959E+04 |  5.387903E+04
    85 |     5440 |  5.396820E+04 |  5.379981E+04
    86 |     5504 |  5.395225E+04 |  5.379981E+04
    87 |     5568 |  5.394080E+04 |  5.379981E+04
    88 |     5632 |  5.393347E+04 |  5.374183E+04
    89 |     5696 |  5.391903E+04 |  5.374183E+04
    90 |     5760 |  5.390275E+04 |  5.374183E+04
    91 |     5824 |  5.388283E+04 |  5.374183E+04
    92 |     5888 |  5.384710E+04 |  5.372528E+04
    93 |     5952 |  5.378627E+04 |  5.372528E+04
    94 |     6016 |  5.376268E+04 |  5.372528E+04
    95 |     6080 |  5.375505E+04 |  5.372528E+04
    96 |     6144 |  5.374937E+04 |  5.372528E+04
    97 |     6208 |  5.374698E+04 |  5.372528E+04
    98 |     6272 |  5.374618E+04 |  5.372528E+04
    99 |     6336 |  5.374440E+04 |  5.368251E+04
   100 |     6400 |  5.374118E+04 |  5.368251E+04
Best solution found: [0 0 0 0 1 2 0 0 1 0 0 0 0 1 1 0 1 2 0 0 1 0 0 0 2 1 0 0 0 0 0 0 2 1 0 0 1
 2 1 2 1 1 0 1 1 1 0 1 1 1 0 1 2 1 0 1 1 1 0 2 2 1 0 1 2 2 0 1 2 2 1 1 1 0
